sample,condition,reps,type
BY-1-BMYJ,BMYJ,1,three
BY-1-BZCJ,BZCJ,1,one
BY-1-FCJ,FCJ,1,one
BY-1-GSTJ,GSTJ,1,two
BY-1-JGQJ,JGQJ,1,one
BY-1-XJ,XJ,1,two
BY-1-YDJ,YDJ,1,three
BY-1-YWXJ,YWXJ,1,three
BY-1-ZCSJ,ZCSJ,1,three
BY-1-ZDQJ,ZDQJ,1,three
BY-2-BMYJ,BMYJ,2,three
BY-2-BZCJ,BZCJ,2,two
BY-2-FCJ,FCJ,2,one
BY-2-GSTJ,GSTJ,2,two
BY-2-JGQJ,JGQJ,2,two
BY-2-XJ,XJ,2,two
BY-2-YDJ,YDJ,2,one
BY-2-ZCSJ,ZCSJ,2,three
BY-2-ZDQJ,ZDQJ,2,two
BY-3-BMYJ,BMYJ,3,three
BY-3-BZCJ,BZCJ,3,one
BY-3-FCJ,FCJ,3,one
BY-3-GSTJ,GSTJ,3,three
BY-3-JGQJ,JGQJ,3,one
BY-3-XJ,XJ,3,one
BY-3-YDJ,YDJ,3,three
BY-3-ZCSJ,ZCSJ,3,three
BY-3-ZDQJ,ZDQJ,3,three
BY-4-BMYJ,BMYJ,4,one
BY-4-BZCJ,BZCJ,4,two
BY-4-FCJ,FCJ,4,two
BY-4-GSTJ,GSTJ,4,three
BY-4-JGQJ,JGQJ,4,three
BY-4-XJ,XJ,4,one
BY-4-YDJ,YDJ,4,three
BY-4-YWXJ,YWXJ,2,three
BY-4-ZCSJ,ZCSJ,4,two
BY-4-ZDQJ,ZDQJ,4,three
BY-5-BMYJ,BMYJ,5,two
BY-5-BZCJ,BZCJ,5,one
BY-5-FCJ,FCJ,5,two
BY-5-GSTJ,GSTJ,5,three
BY-5-JGQJ,JGQJ,5,two
BY-5-XJ,XJ,5,two
BY-5-YDJ,YDJ,5,one
BY-5-YWXJ,YWXJ,3,three
BY-5-ZCSJ,ZCSJ,5,two
BY-5-ZDQJ,ZDQJ,5,three
BY-6-BMYJ,BMYJ,6,two
BY-6-BZCJ,BZCJ,6,one
BY-6-FCJ,FCJ,6,one
BY-6-GSTJ,GSTJ,6,two
BY-6-JGQJ,JGQJ,6,two
BY-6-XJ,XJ,6,four
BY-6-YDJ,YDJ,6,one
BY-6-YWXJ,YWXJ,4,three
BY-6-ZCSJ,ZCSJ,6,three
BY-6-ZDQJ,ZDQJ,6,three
