target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	90.8204	1	0.852494
ENSGALT00000092144.1	105	38.4745	0	0
ENSGALT00000097599.1	99	34.9688	0	0
ENSGALT00000096074.1	282	90.8204	0	0
ENSGALT00000093123.1	285	93.4413	0	0
ENSGALT00000095759.1	297	104.106	0	0
ENSGALT00000098150.1	207	34.4997	0	0
ENSGALT00000088071.2	171	15.6678	0	0
ENSGALT00000101747.1	111	40.9333	0	0
ENSGALT00000034018.5	285	93.4413	0	0
ENSGALT00000098775.1	282	90.8204	0	0
ENSGALT00000105314.1	288	96.0708	0	0
ENSGALT00000103186.1	204	32.7607	0	0
ENSGALT00000095006.1	282	90.8204	0	0
ENSGALT00000093599.1	297	104.106	4	2.9748
ENSGALT00000106599.1	288	96.0708	1	0.805903
ENSGALT00000106076.1	288	96.0708	0	0
ENSGALT00000092569.1	207	34.4997	0	0
ENSGALT00000097506.1	282	90.8204	0	0
ENSGALT00000102408.1	174	17.0149	0	0
ENSGALT00000085358.2	261	73.0433	0	0
ENSGALT00000090665.1	207	34.4997	0	0
ENSGALT00000104147.1	282	90.8204	0	0
ENSGALT00000009519.6	312	117.673	32	21.0546
ENSGALT00000107510.1	303	109.378	0	0
ENSGALT00000102297.1	300	106.722	0	0
ENSGALT00000106260.1	300	106.722	0	0
ENSGALT00000091808.1	303	109.378	0	0
ENSGALT00000107033.1	300	106.722	0	0
ENSGALT00000093063.1	303	109.378	0	0
ENSGALT00000093463.1	303	109.378	0	0
ENSGALT00000097156.1	300	106.722	0	0
ENSGALT00000107238.1	306	112.155	0	0
ENSGALT00000103224.1	303	109.378	0	0
ENSGALT00000076576.2	300	106.722	0	0
ENSGALT00000100705.1	303	109.378	0.5	0.353928
ENSGALT00000095032.1	297	104.106	2	1.4874
ENSGALT00000095957.1	300	106.722	0	0
ENSGALT00000104488.1	291	98.727	0	0
ENSGALT00000090393.1	300	106.722	0	0
ENSGALT00000107783.1	300	106.722	0	0
ENSGALT00000101333.1	300	106.722	0	0
ENSGALT00000105767.1	300	106.722	0	0
ENSGALT00000103134.1	303	109.378	0	0
ENSGALT00000091408.1	300	106.722	0	0
ENSGALT00000097586.1	300	106.722	0	0
ENSGALT00000091033.1	303	109.378	0	0
ENSGALT00000107771.1	300	106.722	0	0
ENSGALT00000106915.1	303	109.378	0	0
ENSGALT00000091553.1	303	109.378	0	0
ENSGALT00000093743.1	303	109.378	0	0
ENSGALT00000106326.1	303	109.378	0	0
ENSGALT00000095681.1	300	106.722	0	0
ENSGALT00000106995.1	300	106.722	0	0
ENSGALT00000100646.1	300	106.722	0	0
ENSGALT00000096595.1	303	109.378	3	2.12357
ENSGALT00000097847.1	300	106.722	0	0
ENSGALT00000105763.1	303	109.378	0	0
ENSGALT00000101575.1	300	106.722	0	0
ENSGALT00000107864.1	303	109.378	0	0
ENSGALT00000105971.1	300	106.722	0	0
ENSGALT00000095502.1	303	109.378	0	0
ENSGALT00000092747.1	300	106.722	0	0
ENSGALT00000091562.1	306	112.155	0	0
ENSGALT00000094104.1	303	109.378	0	0
ENSGALT00000090412.1	303	109.378	0	0
ENSGALT00000101020.1	303	109.378	0.5	0.353928
ENSGALT00000102707.1	303	109.378	0	0
ENSGALT00000093555.1	303	109.378	0	0
ENSGALT00000096330.1	300	106.722	0	0
ENSGALT00000096025.1	300	106.722	0	0
ENSGALT00000107692.1	300	106.722	0	0
ENSGALT00000105196.1	303	109.378	0	0
ENSGALT00000093144.1	300	106.722	0	0
ENSGALT00000095235.1	300	106.722	0	0
ENSGALT00000094112.1	300	106.722	0	0
ENSGALT00000100750.1	303	109.378	2	1.41571
ENSGALT00000105296.1	303	109.378	0	0
ENSGALT00000098355.1	303	109.378	0	0
ENSGALT00000098909.1	300	106.722	0	0
ENSGALT00000104847.1	303	109.378	0	0
ENSGALT00000108026.1	303	109.378	0	0
ENSGALT00000103665.1	303	109.378	0	0
ENSGALT00000105628.1	303	109.378	0	0
ENSGALT00000097081.1	300	106.722	0	0
ENSGALT00000105645.1	291	98.727	0	0
ENSGALT00000098506.1	300	106.722	0	0
ENSGALT00000096927.1	303	109.378	1	0.707856
ENSGALT00000105629.1	303	109.378	0	0
ENSGALT00000093613.1	300	106.722	0	0
ENSGALT00000099537.1	303	109.378	0	0
ENSGALT00000092633.1	303	109.378	0	0
ENSGALT00000104205.1	303	109.378	0	0
ENSGALT00000108182.1	303	109.378	0	0
ENSGALT00000091267.1	303	109.378	0	0
ENSGALT00000101555.1	303	109.378	0	0
ENSGALT00000103901.1	303	109.378	2	1.41571
ENSGALT00000106578.1	303	109.378	5	3.53928
ENSGALT00000093220.1	348	151.721	14	7.14426
ENSGALT00000080481.1	975	751.117	49974	5151.23
ENSGALT00000082968.2	1039	795.863	23641	2299.86
ENSGALT00000053568.1	1548	1296.86	358580	21407.6
ENSGALT00000054328.1	684	461.024	151138	25381.9
ENSGALT00000054361.1	165	12.9739	1725	10294.2
ENSGALT00000076413.1	684	506.568	69171	10572.1
ENSGALT00000061564.1	784	563.776	149124	20479.3
ENSGALT00000049217.1	351	154.638	12882	6449.72
ENSGALT00000079811.1	297	104.106	5571	4143.16
ENSGALT00000063913.1	1378	1151.2	59597	4008.19
ENSGALT00000047001.1	1818	1571.25	34200	1685.22
ENSGALT00000053400.1	1143	936.675	97852	8088.26
ENSGALT00000068151.1	522	330.973	819	191.587
ENSGALT00000015774.6	2848	2654.26	199	5.80476
ENSGALT00000107714.1	192	25.869	0	0
ENSGALT00000087687.2	2219	1741.54	172.074	7.64992
ENSGALT00000007277.3	2291	1825.97	1137.93	48.2496
ENSGALT00000016200.6	2519	2037.52	76	2.88793
ENSGALT00000057018.2	2043	1981.61	45.5348	1.77909
ENSGALT00000064690.2	2193	2136.08	29.659	1.07501
ENSGALT00000103853.1	2238	2038.76	0	0
ENSGALT00000095972.1	1968	1900.57	8.8062	0.358739
ENSGALT00000052654.2	3495	3888.43	885	17.6215
ENSGALT00000061915.3	970	916.354	496.868	41.9809
ENSGALT00000033572.5	2547	2430.47	64	2.03875
ENSGALT00000076955.2	2058	1925.08	0	0
ENSGALT00000107965.1	2460	2260.76	0	0
ENSGALT00000080793.2	1206	1006.76	0	0
ENSGALT00000001657.6	1354	1127.84	2160.83	148.336
ENSGALT00000038720.4	2784	2289.96	49.1655	1.66229
ENSGALT00000064754.2	2359	2043.65	1328	50.3114
ENSGALT00000096825.1	3212	3012.76	0	0
ENSGALT00000089429.2	1386	1211.26	11.2341	0.718085
ENSGALT00000085779.2	1599	1851.76	17	0.710787
ENSGALT00000057265.2	1520	1230.04	3.04203	0.191477
ENSGALT00000069945.2	1266	1028.59	179.861	13.5384
ENSGALT00000093812.1	1700	1346.83	0	0
ENSGALT00000017109.6	1577	1241.06	214.097	13.3565
ENSGALT00000103291.1	2658	2458.76	0	0
ENSGALT00000084934.2	2580	2380.76	0	0
ENSGALT00000095264.1	2724	2524.76	0	0
ENSGALT00000093947.1	2976	2776.76	0	0
ENSGALT00000005824.5	3364	3000.73	413	10.6561
ENSGALT00000069539.2	1440	1229.34	0	0
ENSGALT00000092213.1	165	12.9739	0	0
ENSGALT00000044892.3	417	219.372	0	0
ENSGALT00000015470.6	1305	1107.59	186	13.0019
ENSGALT00000094180.1	3408	2779.71	0	0
ENSGALT00000093577.1	3924	3442.74	0	0
ENSGALT00000094724.1	3282	2900.75	23.3932	0.624387
ENSGALT00000101384.1	4524	3686.18	254.057	5.33616
ENSGALT00000068770.2	2865	2665.76	0	0
ENSGALT00000091629.1	1637	1267.9	41.5494	2.53721
ENSGALT00000100108.1	957	922.266	17.7364	1.48896
ENSGALT00000003008.6	2586	2849.27	167.64	4.55532
ENSGALT00000102256.1	2454	2703.46	4.62338	0.132408
ENSGALT00000071948.2	2889	3189.45	14	0.339849
ENSGALT00000083823.2	222	44.0003	0	0
ENSGALT00000027260.6	2443	2076.61	258.874	9.65179
ENSGALT00000095138.1	2468	2129.88	18.2758	0.664348
ENSGALT00000104589.1	3532	3142.08	9.85037	0.242722
ENSGALT00000087385.2	1551	1826.3	70.1323	2.97318
ENSGALT00000018638.6	1513	1111.03	493	34.3555
ENSGALT00000045316.3	7707	6879.53	185	2.08203
ENSGALT00000098841.1	7617	6811.32	0	0
ENSGALT00000000935.5	1442	1154.88	495	33.185
ENSGALT00000013776.6	1989	1625.02	542	25.8234
ENSGALT00000059809.2	2757	3277.57	5.13355	0.121266
ENSGALT00000084956.2	2278	2128.74	127.513	4.63775
ENSGALT00000044371.3	1765	1651.23	188.889	8.85669
ENSGALT00000000945.6	1823	1942.83	30.9454	1.23321
ENSGALT00000102455.1	2037	2227.83	262.637	9.12743
ENSGALT00000058192.2	1765	1880.04	164.418	6.77103
ENSGALT00000046006.3	1479	1006.49	297	22.8466
ENSGALT00000053946.2	2102	1686.8	284	13.0356
ENSGALT00000066342.2	2295	1833.52	2003	84.5805
ENSGALT00000051780.2	3429	3306.31	283	6.62701
ENSGALT00000039145.3	540	393.966	172	33.8021
ENSGALT00000048854.2	2589	2389.76	0	0
ENSGALT00000016196.3	584	426.175	1.11145	0.201919
ENSGALT00000106875.1	1899	2364.49	539	17.6492
ENSGALT00000107518.1	1163	1288.32	3	0.18029
ENSGALT00000074365.2	1347	1034.41	0	0
ENSGALT00000038301.4	1485	1157.08	9.3163	0.623381
ENSGALT00000088781.2	1787	1406.99	40.6837	2.23874
ENSGALT00000013516.6	1240	1168.04	694	46.0019
ENSGALT00000042658.4	3273	3237.75	4	0.0956514
ENSGALT00000105272.1	1990	2012.31	59	2.27003
ENSGALT00000092110.1	511	352.101	1416	311.366
ENSGALT00000017089.6	2184	2009.65	3	0.115578
ENSGALT00000000932.5	2974	2683.96	315	9.08674
ENSGALT00000070090.2	1842	1854.26	220	9.18601
ENSGALT00000077983.2	2568	3007.56	0	0
ENSGALT00000015524.6	2370	2009.21	42	1.61845
ENSGALT00000063478.2	1492	1214.27	151.615	9.66718
ENSGALT00000085126.2	3792	3299.75	622.786	14.6128
ENSGALT00000000700.6	1559	1277.89	19.5988	1.18744
ENSGALT00000095508.1	1245	1072.71	9.09766	0.656632
ENSGALT00000036535.4	1460	1309.71	36.9023	2.18149
ENSGALT00000092377.1	1350	1168.43	0	0
ENSGALT00000104831.1	360	163.376	0	0
ENSGALT00000089696.2	1739	1630.22	277.284	13.169
ENSGALT00000078926.2	2568	3115.59	18.0678	0.448993
ENSGALT00000013511.6	2586	3024.09	68.9741	1.7659
ENSGALT00000105318.1	3555	4205.79	36.0259	0.663194
ENSGALT00000091517.1	2963	3392.89	0	0
ENSGALT00000097952.1	1886	1918.67	189	7.62668
ENSGALT00000043593.3	2213	2229.25	158	5.48747
ENSGALT00000001687.6	2946	2514.19	1335	41.111
ENSGALT00000090727.1	5952	7069.23	27.2959	0.298951
ENSGALT00000105286.1	4293	5131.56	1175.71	17.7388
ENSGALT00000099259.1	5734	6624.18	0	0
ENSGALT00000103732.1	1444	1423.66	36.0993	1.96321
ENSGALT00000093504.1	360	163.376	0	0
ENSGALT00000014035.5	5449	5069.42	2501	38.197
ENSGALT00000046993.3	759	668.569	219.012	25.3627
ENSGALT00000057339.2	1310	1332	392.988	22.8428
ENSGALT00000101995.1	2125	2060.41	28.0742	1.05494
ENSGALT00000084738.2	2462	2433.3	93.4743	2.9742
ENSGALT00000013715.7	1862	1560.64	716.138	35.5279
ENSGALT00000047226.2	963	732.928	26.6938	2.81983
ENSGALT00000097844.1	963	732.928	26.6938	2.81983
ENSGALT00000000929.5	864	717.917	1	0.107845
ENSGALT00000027978.5	4778	4555.86	547	9.29589
ENSGALT00000015509.6	1045	828.742	298	27.8401
ENSGALT00000011326.6	1607	1540.98	28	1.40681
ENSGALT00000098553.1	1798	1877.74	144	5.93746
ENSGALT00000027257.6	2413	1972.2	164.764	6.46825
ENSGALT00000099288.1	2671	2205.62	4.23585	0.148691
ENSGALT00000054845.2	1107	992.997	5	0.389849
ENSGALT00000043807.3	1556	1581.67	3	0.146852
ENSGALT00000050158.2	1744	1706.98	128.59	5.83247
ENSGALT00000105330.1	2299	2440.33	14.4506	0.458471
ENSGALT00000106006.1	1818	1844.2	20.9591	0.879912
ENSGALT00000026684.6	2811	2722.93	4966	141.203
ENSGALT00000092104.1	7542	8536.3	7	0.0634896
ENSGALT00000093098.1	189	24.2916	0	0
ENSGALT00000000680.6	1224	1181.97	1	0.0655042
ENSGALT00000097651.1	963	893.604	138.572	12.0062
ENSGALT00000107057.1	1029	1138.25	30.9648	2.10624
ENSGALT00000079361.2	3788	3169.39	129.21	3.15643
ENSGALT00000078382.2	3806	3203.59	0	0
ENSGALT00000065061.2	3746	3149.58	0	0
ENSGALT00000106787.1	3722	3100.56	66.2299	1.65382
ENSGALT00000100754.1	3719	3110.13	5.21842	0.129908
ENSGALT00000095441.1	3686	3083.44	6.69376	0.168077
ENSGALT00000038693.4	3674	3057.74	82.6478	2.09269
ENSGALT00000100249.1	3614	3014.45	0	0
ENSGALT00000092058.1	162	11.7196	1	6.60636
ENSGALT00000091508.1	2619	2444.16	0	0
ENSGALT00000024931.6	2613	2464.65	404	12.6911
ENSGALT00000001693.5	1268	1068.76	0	0
ENSGALT00000076033.3	2192	1898.63	311.668	12.7094
ENSGALT00000056157.2	1583	1382.8	23.4916	1.3153
ENSGALT00000022671.6	1553	1350.48	8.30109	0.475907
ENSGALT00000022669.6	3269	2859.74	11.5396	0.312421
ENSGALT00000077257.3	6535	5886.45	313	4.11685
