target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	79.6102	3	3.04981
ENSGALT00000092144.1	105	37.3434	0	0
ENSGALT00000097599.1	99	34.2747	2	4.72255
ENSGALT00000096074.1	282	79.6102	0	0
ENSGALT00000093123.1	285	82.008	0	0
ENSGALT00000095759.1	297	91.9172	8.77878	7.72962
ENSGALT00000098150.1	207	30.6635	0	0
ENSGALT00000088071.2	171	14.8811	0	0
ENSGALT00000101747.1	111	39.3	0	0
ENSGALT00000034018.5	285	82.008	0	0
ENSGALT00000098775.1	282	79.6102	2	2.03321
ENSGALT00000105314.1	288	84.4838	0	0
ENSGALT00000103186.1	204	29.1612	0	0
ENSGALT00000095006.1	282	79.6102	0	0
ENSGALT00000093599.1	297	91.9172	3	2.64147
ENSGALT00000106599.1	288	84.4838	0	0
ENSGALT00000106076.1	288	84.4838	13	12.4535
ENSGALT00000092569.1	207	30.6635	0	0
ENSGALT00000097506.1	282	79.6102	0	0
ENSGALT00000102408.1	174	15.9087	0	0
ENSGALT00000085358.2	261	63.847	38.2212	48.449
ENSGALT00000090665.1	207	30.6635	0	0
ENSGALT00000104147.1	282	79.6102	19	19.3155
ENSGALT00000009519.6	312	104.795	1408	1087.38
ENSGALT00000107510.1	303	96.9929	3.19891	2.66921
ENSGALT00000102297.1	300	94.4468	0	0
ENSGALT00000106260.1	300	94.4468	3.02468	2.59187
ENSGALT00000091808.1	303	96.9929	0	0
ENSGALT00000107033.1	300	94.4468	0	0
ENSGALT00000093063.1	303	96.9929	0	0
ENSGALT00000093463.1	303	96.9929	3	2.50324
ENSGALT00000097156.1	300	94.4468	0	0
ENSGALT00000107238.1	306	99.5677	0	0
ENSGALT00000103224.1	303	96.9929	9.66586	8.06531
ENSGALT00000076576.2	300	94.4468	5.22214	4.47489
ENSGALT00000100705.1	303	96.9929	1.40751	1.17444
ENSGALT00000095032.1	297	91.9172	0	0
ENSGALT00000095957.1	300	94.4468	1.21909	1.04465
ENSGALT00000104488.1	291	86.9252	0	0
ENSGALT00000090393.1	300	94.4468	0	0
ENSGALT00000107783.1	300	94.4468	0	0
ENSGALT00000101333.1	300	94.4468	0	0
ENSGALT00000105767.1	300	94.4468	3.21442	2.75446
ENSGALT00000103134.1	303	96.9929	0	0
ENSGALT00000091408.1	300	94.4468	0	0
ENSGALT00000097586.1	300	94.4468	0	0
ENSGALT00000091033.1	303	96.9929	4.01548	3.35057
ENSGALT00000107771.1	300	94.4468	0	0
ENSGALT00000106915.1	303	96.9929	0	0
ENSGALT00000091553.1	303	96.9929	72.997	60.9096
ENSGALT00000093743.1	303	96.9929	0	0
ENSGALT00000106326.1	303	96.9929	9.95491	8.3065
ENSGALT00000095681.1	300	94.4468	0	0
ENSGALT00000106995.1	300	94.4468	0	0
ENSGALT00000100646.1	300	94.4468	3.22826	2.76632
ENSGALT00000096595.1	303	96.9929	2.04224	1.70407
ENSGALT00000097847.1	300	94.4468	0	0
