target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	78.033	2.05882	1.93394
ENSGALT00000092144.1	105	34.375	0	0
ENSGALT00000097599.1	99	31.0909	0	0
ENSGALT00000096074.1	282	78.033	0	0
ENSGALT00000093123.1	285	80.3853	0	0
ENSGALT00000095759.1	297	90.2053	2.04245	1.65968
ENSGALT00000098150.1	207	29.6944	0	0
ENSGALT00000088071.2	171	14.245	0	0
ENSGALT00000101747.1	111	34.9286	0	0
ENSGALT00000034018.5	285	80.3853	3	2.73557
ENSGALT00000098775.1	282	78.033	0	0
ENSGALT00000105314.1	288	82.9248	0	0
ENSGALT00000103186.1	204	28.2123	0	0
ENSGALT00000095006.1	282	78.033	8.17712	7.68113
ENSGALT00000093599.1	297	90.2053	40.7638	33.1243
ENSGALT00000106599.1	288	82.9248	7	6.18753
ENSGALT00000106076.1	288	82.9248	1.02081	0.902324
ENSGALT00000092569.1	207	29.6944	0	0
ENSGALT00000097506.1	282	78.033	2	1.87869
ENSGALT00000102408.1	174	15.3512	0	0
ENSGALT00000085358.2	261	62.1048	6.99582	8.2569
ENSGALT00000090665.1	207	29.6944	0	0
ENSGALT00000104147.1	282	78.033	32.9412	30.9431
ENSGALT00000009519.6	312	103.03	1555	1106.3
ENSGALT00000107510.1	303	95.2755	2.06232	1.58664
ENSGALT00000102297.1	300	92.7117	2.55288	2.01837
ENSGALT00000106260.1	300	92.7117	2.0181	1.59556
ENSGALT00000091808.1	303	95.2755	1.33725	1.02881
ENSGALT00000107033.1	300	92.7117	0	0
ENSGALT00000093063.1	303	95.2755	1.37069	1.05454
ENSGALT00000093463.1	303	95.2755	1	0.769347
ENSGALT00000097156.1	300	92.7117	0	0
ENSGALT00000107238.1	306	97.86	0	0
ENSGALT00000103224.1	303	95.2755	6.26633	4.82098
ENSGALT00000076576.2	300	92.7117	0	0
ENSGALT00000100705.1	303	95.2755	1.51426	1.16499
ENSGALT00000095032.1	297	90.2053	0	0
ENSGALT00000095957.1	300	92.7117	8.44894	6.67992
ENSGALT00000104488.1	291	85.3359	0	0
ENSGALT00000090393.1	300	92.7117	0	0
ENSGALT00000107783.1	300	92.7117	2.56286	2.02625
ENSGALT00000101333.1	300	92.7117	0	0
ENSGALT00000105767.1	300	92.7117	0	0
ENSGALT00000103134.1	303	95.2755	0.520165	0.400187
ENSGALT00000091408.1	300	92.7117	0	0
ENSGALT00000097586.1	300	92.7117	0	0
ENSGALT00000091033.1	303	95.2755	4.51709	3.47521
ENSGALT00000107771.1	300	92.7117	0	0
ENSGALT00000106915.1	303	95.2755	0	0
ENSGALT00000091553.1	303	95.2755	0	0
ENSGALT00000093743.1	303	95.2755	0	0
ENSGALT00000106326.1	303	95.2755	0	0
ENSGALT00000095681.1	300	92.7117	0	0
ENSGALT00000106995.1	300	92.7117	1.19641	0.945907
ENSGALT00000100646.1	300	92.7117	5.35122	4.23079
ENSGALT00000096595.1	303	95.2755	47.0949	36.2323
ENSGALT00000097847.1	300	92.7117	0	0
ENSGALT00000105763.1	303	95.2755	0	0
ENSGALT00000101575.1	300	92.7117	0	0
ENSGALT00000107864.1	303	95.2755	0	0
ENSGALT00000105971.1	300	92.7117	0	0
ENSGALT00000095502.1	303	95.2755	0	0
ENSGALT00000092747.1	300	92.7117	0	0
ENSGALT00000091562.1	306	97.86	0	0
ENSGALT00000094104.1	303	95.2755	6.26633	4.82098
ENSGALT00000090412.1	303	95.2755	0	0
ENSGALT00000101020.1	303	95.2755	0	0
ENSGALT00000102707.1	303	95.2755	0	0
ENSGALT00000093555.1	303	95.2755	2.69607	2.07421
ENSGALT00000096330.1	300	92.7117	0	0
ENSGALT00000096025.1	300	92.7117	0	0
ENSGALT00000107692.1	300	92.7117	0	0
ENSGALT00000105196.1	303	95.2755	0.520165	0.400187
ENSGALT00000093144.1	300	92.7117	0	0
ENSGALT00000095235.1	300	92.7117	2.56286	2.02625
ENSGALT00000094112.1	300	92.7117	2.77151	2.19121
ENSGALT00000100750.1	303	95.2755	12.5079	9.62288
ENSGALT00000105296.1	303	95.2755	8.54975	6.57773
ENSGALT00000098355.1	303	95.2755	35.4827	27.2985
ENSGALT00000098909.1	300	92.7117	0	0
ENSGALT00000104847.1	303	95.2755	4.05497	3.11968
ENSGALT00000108026.1	303	95.2755	3.71802	2.86045
ENSGALT00000103665.1	303	95.2755	12.8433	9.88098
ENSGALT00000105628.1	303	95.2755	2.02565	1.55843
ENSGALT00000097081.1	300	92.7117	2.09354	1.6552
ENSGALT00000105645.1	291	85.3359	2.31207	1.98597
ENSGALT00000098506.1	300	92.7117	11.9668	9.46118
ENSGALT00000096927.1	303	95.2755	9.5129	7.31872
ENSGALT00000105629.1	303	95.2755	4.51709	3.47521
ENSGALT00000093613.1	300	92.7117	11.1595	8.82297
ENSGALT00000099537.1	303	95.2755	0	0
ENSGALT00000092633.1	303	95.2755	0	0
ENSGALT00000104205.1	303	95.2755	9.43623	7.25973
ENSGALT00000108182.1	303	95.2755	0	0
ENSGALT00000091267.1	303	95.2755	6.38967	4.91587
ENSGALT00000101555.1	303	95.2755	31.7996	24.4649
ENSGALT00000103901.1	303	95.2755	20	15.3869
ENSGALT00000106578.1	303	95.2755	21	16.1563
ENSGALT00000093220.1	348	136.284	1292	694.896
ENSGALT00000080481.1	975	749.79	47046	4599.24
ENSGALT00000082968.2	1039	775.855	22470	2122.88
ENSGALT00000053568.1	1548	1292.28	485509	27538.7
ENSGALT00000054328.1	684	448.75	192048	31369.6
ENSGALT00000054361.1	165	12.2268	715	4286.43
ENSGALT00000076413.1	684	504.054	53912	7839.91
ENSGALT00000061564.1	784	566.318	207215	26820.3
ENSGALT00000049217.1	351	139.131	10818	5699.37
ENSGALT00000079811.1	297	90.2053	5207	4231.16
ENSGALT00000063913.1	1378	1138.61	42788	2754.56
ENSGALT00000047001.1	1818	1595	30364	1395.41
ENSGALT00000053400.1	1143	947.547	80248	6207.79
ENSGALT00000068151.1	522	344.917	955	202.951
ENSGALT00000015774.6	2848	2656.07	184	5.07788
ENSGALT00000107714.1	192	22.6095	0	0
ENSGALT00000087687.2	2219	1666.59	241.451	10.6195
ENSGALT00000007277.3	2291	1739.7	1243.55	52.3952
ENSGALT00000016200.6	2519	1972.59	37	1.37489
ENSGALT00000057018.2	2043	1987.67	74.9289	2.76318
ENSGALT00000064690.2	2193	2135.3	115.71	3.97205
ENSGALT00000103853.1	2238	2163.96	0	0
ENSGALT00000095972.1	1968	1905.97	39.3613	1.51375
ENSGALT00000052654.2	3495	4019.55	1725	31.4568
ENSGALT00000061915.3	970	913.128	621	49.8498
ENSGALT00000033572.5	2547	2435.49	63.3799	1.90751
ENSGALT00000076955.2	2058	1967.09	11.6201	0.433002
ENSGALT00000107965.1	2460	2654.21	11.1349	0.307506
ENSGALT00000080793.2	1206	990.377	0	0
ENSGALT00000001657.6	1354	1096.06	2413.72	161.42
ENSGALT00000038720.4	2784	2207.5	26.2803	0.872634
ENSGALT00000064754.2	2359	2019.13	1298	47.1209
ENSGALT00000096825.1	3212	2996.38	0	0
ENSGALT00000089429.2	1386	1205.44	52.416	3.18729
ENSGALT00000085779.2	1599	1982.43	29	1.07227
ENSGALT00000057265.2	1520	1197.51	3.01294	0.184422
ENSGALT00000069945.2	1266	991.317	190.263	14.0684
ENSGALT00000093812.1	1700	1278.16	0	0
ENSGALT00000017109.6	1577	1180.64	196.725	12.2137
ENSGALT00000103291.1	2658	3079.33	0	0
ENSGALT00000084934.2	2580	2971.63	2	0.0493331
ENSGALT00000095264.1	2724	2508.38	0	0
ENSGALT00000093947.1	2976	2760.38	0	0
ENSGALT00000005824.5	3364	2959.49	702.556	17.4007
ENSGALT00000069539.2	1440	1225.37	34.444	2.06039
ENSGALT00000092213.1	165	12.2268	0	0
ENSGALT00000044892.3	417	237.737	1.02904	0.317277
ENSGALT00000015470.6	1305	1067.8	221	15.1707
ENSGALT00000094180.1	3408	2674.39	0	0
ENSGALT00000093577.1	3924	3371.29	0	0
ENSGALT00000094724.1	3282	2866.26	8.90007	0.227605
ENSGALT00000101384.1	4524	3558.85	252.87	5.20824
ENSGALT00000068770.2	2865	2649.38	0	0
ENSGALT00000091629.1	1637	1222.03	24.2299	1.45336
ENSGALT00000100108.1	957	962.881	19.8905	1.51418
ENSGALT00000003008.6	2586	2955.5	326.186	8.08981
ENSGALT00000102256.1	2454	2810.49	6.92332	0.180566
ENSGALT00000071948.2	2889	3305.59	28	0.620887
ENSGALT00000083823.2	222	37.7122	0	0
ENSGALT00000027260.6	2443	2037.15	488.212	17.5667
ENSGALT00000095138.1	2468	2095.67	25.2487	0.883119
ENSGALT00000104589.1	3532	3101.32	3.53898	0.083644
ENSGALT00000087385.2	1551	1908.04	114	4.37946
ENSGALT00000018638.6	1513	1058.57	502	34.7607
ENSGALT00000045316.3	7707	6721.74	194	2.11555
ENSGALT00000098841.1	7617	6644.31	5.16906e-05	5.7025e-07
ENSGALT00000000935.5	1442	1120.94	724	47.3432
ENSGALT00000013776.6	1989	1580.08	493	22.8703
ENSGALT00000059809.2	2757	3401.25	1.5038	0.0324081
ENSGALT00000084956.2	2278	2135.5	388.093	13.3211
ENSGALT00000044371.3	1765	1652.11	272.473	12.0889
ENSGALT00000000945.6	1823	2010.07	100.722	3.67294
ENSGALT00000102455.1	2037	2317.48	82.0283	2.59448
ENSGALT00000058192.2	1765	1950.2	406.221	15.2681
ENSGALT00000046006.3	1479	954.214	288	22.1233
ENSGALT00000053946.2	2102	1642.23	56	2.49952
ENSGALT00000066342.2	2295	1776.65	1575	64.9803
ENSGALT00000051780.2	3429	3313.26	581	12.8536
ENSGALT00000039145.3	540	385.351	371	70.5702
ENSGALT00000048854.2	2589	2373.38	0	0
ENSGALT00000016196.3	584	420.814	2.52697	0.440162
ENSGALT00000106875.1	1899	2506.2	432	12.6349
ENSGALT00000107518.1	1163	1341.4	3	0.163933
ENSGALT00000074365.2	1347	987.97	27.6132	2.04869
ENSGALT00000038301.4	1485	1108.09	18.3644	1.21481
ENSGALT00000088781.2	1787	1352.03	31.0224	1.68188
ENSGALT00000013516.6	1240	1182.23	994	61.6292
ENSGALT00000042658.4	3273	3303.44	6	0.133134
ENSGALT00000105272.1	1990	2245.56	118	3.85178
ENSGALT00000092110.1	511	361.587	2293	464.83
ENSGALT00000017089.6	2184	2004.39	10	0.365696
ENSGALT00000000932.5	2974	2658.88	616	16.9819
ENSGALT00000070090.2	1842	1860.61	251	9.8883
ENSGALT00000077983.2	2568	3315.01	3.98557	0.088127
ENSGALT00000015524.6	2370	1982.04	50	1.8491
ENSGALT00000063478.2	1492	1183.33	185.48	11.4894
ENSGALT00000085126.2	3792	3221.14	1200	27.3071
ENSGALT00000000700.6	1559	1246.55	94.5204	5.55801
ENSGALT00000095508.1	1245	1080.1	19.1449	1.29925
ENSGALT00000036535.4	1460	1330.97	53.0669	2.92252
ENSGALT00000092377.1	1350	1183.56	10.7882	0.668131
ENSGALT00000104831.1	360	147.725	0	0
ENSGALT00000089696.2	1739	1633.28	453.15	20.3369
ENSGALT00000078926.2	2568	3265.18	8.09375	0.181696
ENSGALT00000013511.6	2586	3153.78	238.207	5.53639
ENSGALT00000105318.1	3555	4404.94	174.486	2.90352
ENSGALT00000091517.1	2963	3688.7	28.3065	0.562492
ENSGALT00000097952.1	1886	2011.07	286	10.4242
ENSGALT00000043593.3	2213	2281.65	36	1.15653
ENSGALT00000001687.6	2946	2477.29	1236	36.5717
ENSGALT00000090727.1	5952	7383.56	280.121	2.78089
ENSGALT00000105286.1	4293	5368.35	1793.15	24.4838
ENSGALT00000099259.1	5734	7082.08	19.816	0.205096
ENSGALT00000103732.1	1444	1452.3	81.5448	4.1157
ENSGALT00000093504.1	360	147.725	0	0
ENSGALT00000014035.5	5449	5044.36	2049	29.7742
ENSGALT00000046993.3	759	678.323	214.006	23.1255
ENSGALT00000057339.2	1310	1375.57	392.994	20.9415
ENSGALT00000101995.1	2125	2073.5	52.4589	1.85446
ENSGALT00000084738.2	2462	2474.01	148.847	4.41004
