target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	82.1422	241.174	173.145
ENSGALT00000092144.1	105	41.6047	2	2.83487
ENSGALT00000097599.1	99	40.287	181.605	265.833
ENSGALT00000096074.1	282	82.1422	109.409	78.5473
ENSGALT00000093123.1	285	84.6946	286.022	199.154
ENSGALT00000095759.1	297	94.9993	2010.59	1248.1
ENSGALT00000098150.1	207	30.9793	67.1631	127.851
ENSGALT00000088071.2	171	14.1897	75.2585	312.771
ENSGALT00000101747.1	111	45.7185	24	30.9574
ENSGALT00000034018.5	285	84.6946	2074.11	1444.18
ENSGALT00000098775.1	282	82.1422	167.486	120.242
ENSGALT00000105314.1	288	87.2452	621.008	419.76
ENSGALT00000103186.1	204	29.4987	106.98	213.868
ENSGALT00000095006.1	282	82.1422	872.828	626.625
ENSGALT00000093599.1	297	94.9993	3799.13	2358.35
ENSGALT00000106599.1	288	87.2452	2863.12	1935.28
ENSGALT00000106076.1	288	87.2452	1085.7	733.86
ENSGALT00000092569.1	207	30.9793	252.071	479.841
ENSGALT00000097506.1	282	82.1422	511.002	366.861
ENSGALT00000102408.1	174	15.3989	13	49.7851
ENSGALT00000085358.2	261	65.3971	4758.06	4290.58
ENSGALT00000090665.1	207	30.9793	49.1707	93.6009
ENSGALT00000104147.1	282	82.1422	21158.1	15189.9
ENSGALT00000009519.6	312	108.438	597170	324759
ENSGALT00000107510.1	303	100.297	1658.73	975.29
ENSGALT00000102297.1	300	97.6502	3079.52	1859.76
ENSGALT00000106260.1	300	97.6502	504.824	304.868
ENSGALT00000091808.1	303	100.297	106.71	62.7429
ENSGALT00000107033.1	300	97.6502	447.837	270.453
ENSGALT00000093063.1	303	100.297	183.553	107.924
ENSGALT00000093463.1	303	100.297	196.898	115.771
ENSGALT00000097156.1	300	97.6502	28.6768	17.3182
ENSGALT00000107238.1	306	103.003	0	0
ENSGALT00000103224.1	303	100.297	4669.84	2745.74
ENSGALT00000076576.2	300	97.6502	109.308	66.0123
ENSGALT00000100705.1	303	100.297	106.619	62.6891
ENSGALT00000095032.1	297	94.9993	0	0
ENSGALT00000095957.1	300	97.6502	2332.19	1408.43
ENSGALT00000104488.1	291	89.8099	0	0
ENSGALT00000090393.1	300	97.6502	0	0
ENSGALT00000107783.1	300	97.6502	174.993	105.68
ENSGALT00000101333.1	300	97.6502	35.4314	21.3974
ENSGALT00000105767.1	300	97.6502	343.263	207.3
ENSGALT00000103134.1	303	100.297	83.0805	48.8492
ENSGALT00000091408.1	300	97.6502	0	0
ENSGALT00000097586.1	300	97.6502	242.816	146.639
ENSGALT00000091033.1	303	100.297	1729.35	1016.81
ENSGALT00000107771.1	300	97.6502	11.0513	6.674
ENSGALT00000106915.1	303	100.297	298.786	175.678
ENSGALT00000091553.1	303	100.297	1812.02	1065.42
ENSGALT00000093743.1	303	100.297	528.826	310.936
ENSGALT00000106326.1	303	100.297	970.64	570.711
ENSGALT00000095681.1	300	97.6502	506.464	305.859
ENSGALT00000106995.1	300	97.6502	187.758	113.389
ENSGALT00000100646.1	300	97.6502	7126.23	4303.6
ENSGALT00000096595.1	303	100.297	7154.02	4206.37
ENSGALT00000097847.1	300	97.6502	45.031	27.1947
ENSGALT00000105763.1	303	100.297	17.4174	10.241
ENSGALT00000101575.1	300	97.6502	45.031	27.1947
ENSGALT00000107864.1	303	100.297	175.417	103.141
ENSGALT00000105971.1	300	97.6502	45.031	27.1947
ENSGALT00000095502.1	303	100.297	17.4174	10.241
ENSGALT00000092747.1	300	97.6502	427.671	258.275
ENSGALT00000091562.1	306	103.003	456.89	261.583
ENSGALT00000094104.1	303	100.297	4669.84	2745.74
ENSGALT00000090412.1	303	100.297	332.725	195.634
ENSGALT00000101020.1	303	100.297	5824.71	3424.78
ENSGALT00000102707.1	303	100.297	1155.63	679.48
ENSGALT00000093555.1	303	100.297	1618.69	951.749
ENSGALT00000096330.1	300	97.6502	1465.69	885.145
ENSGALT00000096025.1	300	97.6502	1425.24	860.715
ENSGALT00000107692.1	300	97.6502	239.879	144.865
ENSGALT00000105196.1	303	100.297	83.0805	48.8492
ENSGALT00000093144.1	300	97.6502	6.43275	3.8848
ENSGALT00000095235.1	300	97.6502	174.993	105.68
ENSGALT00000094112.1	300	97.6502	452.99	273.565
ENSGALT00000100750.1	303	100.297	4514.72	2654.54
ENSGALT00000105296.1	303	100.297	12573.3	7392.79
ENSGALT00000098355.1	303	100.297	403.799	237.423
ENSGALT00000098909.1	300	97.6502	12.0662	7.28688
ENSGALT00000104847.1	303	100.297	106.896	62.8522
ENSGALT00000108026.1	303	100.297	112.053	65.8843
ENSGALT00000103665.1	303	100.297	1506.93	886.038
ENSGALT00000105628.1	303	100.297	79.752	46.8921
ENSGALT00000097081.1	300	97.6502	1700.81	1027.13
ENSGALT00000105645.1	291	89.8099	825.894	542.308
ENSGALT00000098506.1	300	97.6502	5123.69	3094.25
ENSGALT00000096927.1	303	100.297	14669.8	8625.48
ENSGALT00000105629.1	303	100.297	1729.91	1017.14
