target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	76.7065	0	0
ENSGALT00000092144.1	105	45.3125	0	0
ENSGALT00000097599.1	99	39.9524	0	0
ENSGALT00000096074.1	282	76.7065	0	0
ENSGALT00000093123.1	285	79.1085	0	0
ENSGALT00000095759.1	297	88.6748	5.4993	3.84867
ENSGALT00000098150.1	207	29.8984	0	0
ENSGALT00000088071.2	171	14.7504	0	0
ENSGALT00000101747.1	111	47.7971	0	0
ENSGALT00000034018.5	285	79.1085	0	0
ENSGALT00000098775.1	282	76.7065	1	0.809042
ENSGALT00000105314.1	288	81.3875	0	0
ENSGALT00000103186.1	204	28.5493	0	0
ENSGALT00000095006.1	282	76.7065	0	0
ENSGALT00000093599.1	297	88.6748	0	0
ENSGALT00000106599.1	288	81.3875	1	0.76251
ENSGALT00000106076.1	288	81.3875	4	3.05004
ENSGALT00000092569.1	207	29.8984	0	0
ENSGALT00000097506.1	282	76.7065	1	0.809042
ENSGALT00000102408.1	174	15.8226	0	0
ENSGALT00000085358.2	261	61.3316	12.5007	12.6489
ENSGALT00000090665.1	207	29.8984	0	0
ENSGALT00000104147.1	282	76.7065	3	2.42713
ENSGALT00000009519.6	312	101.324	485	297.053
ENSGALT00000107510.1	303	93.6786	0	0
ENSGALT00000102297.1	300	91.1474	0	0
ENSGALT00000106260.1	300	91.1474	0	0
ENSGALT00000091808.1	303	93.6786	0	0
ENSGALT00000107033.1	300	91.1474	0	0
ENSGALT00000093063.1	303	93.6786	0	0
ENSGALT00000093463.1	303	93.6786	0	0
ENSGALT00000097156.1	300	91.1474	0	0
ENSGALT00000107238.1	306	96.1686	0	0
ENSGALT00000103224.1	303	93.6786	0	0
ENSGALT00000076576.2	300	91.1474	1.10073	0.749445
ENSGALT00000100705.1	303	93.6786	0	0
ENSGALT00000095032.1	297	88.6748	0	0
ENSGALT00000095957.1	300	91.1474	0	0
ENSGALT00000104488.1	291	83.7998	0	0
ENSGALT00000090393.1	300	91.1474	0	0
ENSGALT00000107783.1	300	91.1474	0	0
ENSGALT00000101333.1	300	91.1474	0	0
ENSGALT00000105767.1	300	91.1474	0	0
ENSGALT00000103134.1	303	93.6786	0	0
ENSGALT00000091408.1	300	91.1474	0	0
ENSGALT00000097586.1	300	91.1474	0	0
ENSGALT00000091033.1	303	93.6786	0.5	0.331232
ENSGALT00000107771.1	300	91.1474	0	0
ENSGALT00000106915.1	303	93.6786	0	0
ENSGALT00000091553.1	303	93.6786	31.3025	20.7368
ENSGALT00000093743.1	303	93.6786	0	0
ENSGALT00000106326.1	303	93.6786	3.06333	2.02935
ENSGALT00000095681.1	300	91.1474	0	0
ENSGALT00000106995.1	300	91.1474	0	0
ENSGALT00000100646.1	300	91.1474	2.20146	1.49889
ENSGALT00000096595.1	303	93.6786	0	0
ENSGALT00000097847.1	300	91.1474	0	0
ENSGALT00000105763.1	303	93.6786	0	0
ENSGALT00000101575.1	300	91.1474	0	0
ENSGALT00000107864.1	303	93.6786	1	0.662465
ENSGALT00000105971.1	300	91.1474	0	0
ENSGALT00000095502.1	303	93.6786	0	0
ENSGALT00000092747.1	300	91.1474	0	0
ENSGALT00000091562.1	306	96.1686	0	0
ENSGALT00000094104.1	303	93.6786	0	0
ENSGALT00000090412.1	303	93.6786	0	0
ENSGALT00000101020.1	303	93.6786	0	0
ENSGALT00000102707.1	303	93.6786	0	0
ENSGALT00000093555.1	303	93.6786	0	0
ENSGALT00000096330.1	300	91.1474	0	0
ENSGALT00000096025.1	300	91.1474	0	0
ENSGALT00000107692.1	300	91.1474	0	0
ENSGALT00000105196.1	303	93.6786	0	0
ENSGALT00000093144.1	300	91.1474	0	0
ENSGALT00000095235.1	300	91.1474	0	0
ENSGALT00000094112.1	300	91.1474	0	0
ENSGALT00000100750.1	303	93.6786	1	0.662465
ENSGALT00000105296.1	303	93.6786	1.09774	0.727215
ENSGALT00000098355.1	303	93.6786	0	0
ENSGALT00000098909.1	300	91.1474	0	0
ENSGALT00000104847.1	303	93.6786	0	0
ENSGALT00000108026.1	303	93.6786	0	0
ENSGALT00000103665.1	303	93.6786	1.48973	0.986894
ENSGALT00000105628.1	303	93.6786	0	0
ENSGALT00000097081.1	300	91.1474	0	0
ENSGALT00000105645.1	291	83.7998	0	0
