target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	76.4028	2	1.7812
ENSGALT00000092144.1	105	38.6181	0	0
ENSGALT00000097599.1	99	36.0305	1	1.88852
ENSGALT00000096074.1	282	76.4028	0	0
ENSGALT00000093123.1	285	78.6998	0	0
ENSGALT00000095759.1	297	88.1542	0	0
ENSGALT00000098150.1	207	29.9402	0	0
ENSGALT00000088071.2	171	14.7814	0	0
ENSGALT00000101747.1	111	40.7736	0	0
ENSGALT00000034018.5	285	78.6998	1	0.864607
ENSGALT00000098775.1	282	76.4028	0	0
ENSGALT00000105314.1	288	80.9994	0	0
ENSGALT00000103186.1	204	28.4383	0	0
ENSGALT00000095006.1	282	76.4028	1.14286	1.01783
ENSGALT00000093599.1	297	88.1542	5	3.8594
ENSGALT00000106599.1	288	80.9994	2	1.68012
ENSGALT00000106076.1	288	80.9994	1	0.840061
ENSGALT00000092569.1	207	29.9402	0	0
ENSGALT00000097506.1	282	76.4028	0	0
ENSGALT00000102408.1	174	15.9251	0	0
ENSGALT00000085358.2	261	61.3977	1	1.10826
ENSGALT00000090665.1	207	29.9402	0	0
ENSGALT00000104147.1	282	76.4028	6.85714	6.10698
ENSGALT00000009519.6	312	100.482	360	243.786
ENSGALT00000107510.1	303	93.0029	0	0
ENSGALT00000102297.1	300	90.5589	0	0
ENSGALT00000106260.1	300	90.5589	0	0
ENSGALT00000091808.1	303	93.0029	0	0
ENSGALT00000107033.1	300	90.5589	0	0
ENSGALT00000093063.1	303	93.0029	0	0
ENSGALT00000093463.1	303	93.0029	0	0
ENSGALT00000097156.1	300	90.5589	0	0
ENSGALT00000107238.1	306	95.4632	0	0
ENSGALT00000103224.1	303	93.0029	0	0
ENSGALT00000076576.2	300	90.5589	0	0
ENSGALT00000100705.1	303	93.0029	0	0
ENSGALT00000095032.1	297	88.1542	0	0
ENSGALT00000095957.1	300	90.5589	1.06418	0.799607
ENSGALT00000104488.1	291	83.3762	0	0
ENSGALT00000090393.1	300	90.5589	0	0
ENSGALT00000107783.1	300	90.5589	0	0
ENSGALT00000101333.1	300	90.5589	0	0
ENSGALT00000105767.1	300	90.5589	0	0
ENSGALT00000103134.1	303	93.0029	0	0
ENSGALT00000091408.1	300	90.5589	0	0
ENSGALT00000097586.1	300	90.5589	0	0
ENSGALT00000091033.1	303	93.0029	4	2.92655
ENSGALT00000107771.1	300	90.5589	0	0
ENSGALT00000106915.1	303	93.0029	0	0
ENSGALT00000091553.1	303	93.0029	0	0
ENSGALT00000093743.1	303	93.0029	0	0
ENSGALT00000106326.1	303	93.0029	0	0
ENSGALT00000095681.1	300	90.5589	0	0
ENSGALT00000106995.1	300	90.5589	0	0
ENSGALT00000100646.1	300	90.5589	0	0
ENSGALT00000096595.1	303	93.0029	6.1875	4.52701
ENSGALT00000097847.1	300	90.5589	0	0
ENSGALT00000105763.1	303	93.0029	0	0
ENSGALT00000101575.1	300	90.5589	0	0
ENSGALT00000107864.1	303	93.0029	0	0
ENSGALT00000105971.1	300	90.5589	0	0
ENSGALT00000095502.1	303	93.0029	0	0
ENSGALT00000092747.1	300	90.5589	0	0
ENSGALT00000091562.1	306	95.4632	0	0
ENSGALT00000094104.1	303	93.0029	0	0
ENSGALT00000090412.1	303	93.0029	0	0
ENSGALT00000101020.1	303	93.0029	0	0
ENSGALT00000102707.1	303	93.0029	0	0
ENSGALT00000093555.1	303	93.0029	0	0
ENSGALT00000096330.1	300	90.5589	0	0
ENSGALT00000096025.1	300	90.5589	0	0
ENSGALT00000107692.1	300	90.5589	0	0
ENSGALT00000105196.1	303	93.0029	0	0
ENSGALT00000093144.1	300	90.5589	0	0
ENSGALT00000095235.1	300	90.5589	0	0
ENSGALT00000094112.1	300	90.5589	0	0
ENSGALT00000100750.1	303	93.0029	2	1.46328
ENSGALT00000105296.1	303	93.0029	0	0
ENSGALT00000098355.1	303	93.0029	15.9358	11.6592
ENSGALT00000098909.1	300	90.5589	0	0
ENSGALT00000104847.1	303	93.0029	0	0
ENSGALT00000108026.1	303	93.0029	3.7125	2.7162
ENSGALT00000103665.1	303	93.0029	0	0
ENSGALT00000105628.1	303	93.0029	0	0
ENSGALT00000097081.1	300	90.5589	0	0
ENSGALT00000105645.1	291	83.3762	0	0
ENSGALT00000098506.1	300	90.5589	1	0.751383
ENSGALT00000096927.1	303	93.0029	2	1.46328
ENSGALT00000105629.1	303	93.0029	0	0
ENSGALT00000093613.1	300	90.5589	2	1.50277
ENSGALT00000099537.1	303	93.0029	0	0
ENSGALT00000092633.1	303	93.0029	0	0
ENSGALT00000104205.1	303	93.0029	1.21	0.885282
ENSGALT00000108182.1	303	93.0029	0	0
ENSGALT00000091267.1	303	93.0029	0	0
ENSGALT00000101555.1	303	93.0029	10.89	7.96753
ENSGALT00000103901.1	303	93.0029	6	4.38983
ENSGALT00000106578.1	303	93.0029	10	7.31638
ENSGALT00000093220.1	348	132.544	286	146.825
ENSGALT00000080481.1	975	741.098	66704	6124.47
ENSGALT00000082968.2	1039	783.569	39080	3393.67
ENSGALT00000053568.1	1548	1279.85	703964	37426.9
ENSGALT00000054328.1	684	436.789	288828	44994.5
ENSGALT00000054361.1	165	12.6983	1762	9441.73
ENSGALT00000076413.1	684	501.778	93457	12673.4
ENSGALT00000061564.1	784	553.554	369839	45461.7
ENSGALT00000049217.1	351	135.303	17821	8962.24
ENSGALT00000079811.1	297	88.1542	7545	5823.83
ENSGALT00000063913.1	1378	1145.24	60872	3616.7
ENSGALT00000047001.1	1818	1582.33	38501	1655.65
ENSGALT00000053400.1	1143	941.844	103663	7489.23
ENSGALT00000068151.1	522	336.278	1376	278.428
ENSGALT00000015774.6	2848	2638.58	189	4.87399
ENSGALT00000107714.1	192	23.1873	0	0
ENSGALT00000087687.2	2219	1650.82	283.4	11.6814
ENSGALT00000007277.3	2291	1727.54	1260.6	49.6525
ENSGALT00000016200.6	2519	1968.48	48	1.65921
ENSGALT00000057018.2	2043	1979.75	74.9717	2.57679
ENSGALT00000064690.2	2193	2129.12	91.5611	2.92619
ENSGALT00000103853.1	2238	2017.84	0	0
ENSGALT00000095972.1	1968	1896.67	45.4672	1.63117
ENSGALT00000052654.2	3495	3997.68	600	10.2126
ENSGALT00000061915.3	970	904.494	467	35.1321
ENSGALT00000033572.5	2547	2421.49	67.7297	1.90322
ENSGALT00000076955.2	2058	1957.24	27.2703	0.948061
ENSGALT00000107965.1	2460	2644.69	9.03745	0.232522
ENSGALT00000080793.2	1206	1206.48	0	0
ENSGALT00000001657.6	1354	1080.23	2354.04	148.282
ENSGALT00000038720.4	2784	2195.3	36.9628	1.14568
ENSGALT00000064754.2	2359	1997.6	1587	54.0581
ENSGALT00000096825.1	3212	2991.84	0	0
ENSGALT00000089429.2	1386	1208.11	50	2.81616
ENSGALT00000085779.2	1599	1978.37	31	1.06622
ENSGALT00000057265.2	1520	1187.23	2.18103	0.125003
ENSGALT00000069945.2	1266	979.053	252.768	17.5674
ENSGALT00000093812.1	1700	1265.04	11.6003	0.623963
ENSGALT00000017109.6	1577	1174.19	294.451	17.0635
ENSGALT00000103291.1	2658	2437.84	0	0
ENSGALT00000084934.2	2580	2359.84	0	0
ENSGALT00000095264.1	2724	2503.84	0	0
ENSGALT00000093947.1	2976	3731.24	2	0.0364728
ENSGALT00000005824.5	3364	2931.15	585.689	13.5963
ENSGALT00000069539.2	1440	1212.54	59.3106	3.32835
ENSGALT00000092213.1	165	12.6983	0	0
ENSGALT00000044892.3	417	230.793	3.12299	0.920745
ENSGALT00000015470.6	1305	1061.63	229	14.6776
