target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	76.8701	0	0
ENSGALT00000092144.1	105	41.7941	0	0
ENSGALT00000097599.1	99	40.6667	0	0
ENSGALT00000096074.1	282	76.8701	0	0
ENSGALT00000093123.1	285	79.0732	0	0
ENSGALT00000095759.1	297	88.4307	5.33164	4.10455
ENSGALT00000098150.1	207	29.8186	0	0
ENSGALT00000088071.2	171	14.8729	0	0
ENSGALT00000101747.1	111	44.3514	0	0
ENSGALT00000034018.5	285	79.0732	0	0
ENSGALT00000098775.1	282	76.8701	1	0.885626
ENSGALT00000105314.1	288	81.3556	2	1.67359
ENSGALT00000103186.1	204	28.4127	0	0
ENSGALT00000095006.1	282	76.8701	0	0
ENSGALT00000093599.1	297	88.4307	1	0.769847
ENSGALT00000106599.1	288	81.3556	0	0
ENSGALT00000106076.1	288	81.3556	6	5.02078
ENSGALT00000092569.1	207	29.8186	1	2.28308
ENSGALT00000097506.1	282	76.8701	0	0
ENSGALT00000102408.1	174	15.9543	0	0
ENSGALT00000085358.2	261	61.6335	9.66836	10.6793
ENSGALT00000090665.1	207	29.8186	0	0
ENSGALT00000104147.1	282	76.8701	15	13.2844
ENSGALT00000009519.6	312	101.009	646	435.391
ENSGALT00000107510.1	303	93.4116	3.10936	2.2661
ENSGALT00000102297.1	300	90.893	0	0
ENSGALT00000106260.1	300	90.893	0	0
ENSGALT00000091808.1	303	93.4116	0	0
ENSGALT00000107033.1	300	90.893	0	0
ENSGALT00000093063.1	303	93.4116	0	0
ENSGALT00000093463.1	303	93.4116	1.00777	0.734462
ENSGALT00000097156.1	300	90.893	0	0
ENSGALT00000107238.1	306	95.8795	0	0
ENSGALT00000103224.1	303	93.4116	1.91275	1.39401
ENSGALT00000076576.2	300	90.893	7.61258	5.70177
ENSGALT00000100705.1	303	93.4116	1.66322	1.21215
ENSGALT00000095032.1	297	88.4307	0	0
ENSGALT00000095957.1	300	90.893	3.13319	2.34674
ENSGALT00000104488.1	291	83.4721	0	0
ENSGALT00000090393.1	300	90.893	0	0
ENSGALT00000107783.1	300	90.893	0	0
ENSGALT00000101333.1	300	90.893	0	0
ENSGALT00000105767.1	300	90.893	0	0
ENSGALT00000103134.1	303	93.4116	0	0
ENSGALT00000091408.1	300	90.893	0	0
ENSGALT00000097586.1	300	90.893	0	0
ENSGALT00000091033.1	303	93.4116	0	0
ENSGALT00000107771.1	300	90.893	0	0
ENSGALT00000106915.1	303	93.4116	0	0
ENSGALT00000091553.1	303	93.4116	1.13116e-06	8.24386e-07
ENSGALT00000093743.1	303	93.4116	0	0
ENSGALT00000106326.1	303	93.4116	2.1009	1.53113
ENSGALT00000095681.1	300	90.893	0	0
ENSGALT00000106995.1	300	90.893	0	0
ENSGALT00000100646.1	300	90.893	7.17046	5.37062
ENSGALT00000096595.1	303	93.4116	3.15136	2.2967
ENSGALT00000097847.1	300	90.893	0	0
ENSGALT00000105763.1	303	93.4116	0	0
ENSGALT00000101575.1	300	90.893	0	0
ENSGALT00000107864.1	303	93.4116	0	0
ENSGALT00000105971.1	300	90.893	0	0
ENSGALT00000095502.1	303	93.4116	0	0
ENSGALT00000092747.1	300	90.893	0	0
ENSGALT00000091562.1	306	95.8795	0	0
ENSGALT00000094104.1	303	93.4116	1.91275	1.39401
ENSGALT00000090412.1	303	93.4116	0	0
ENSGALT00000101020.1	303	93.4116	1.66322	1.21215
ENSGALT00000102707.1	303	93.4116	0	0
ENSGALT00000093555.1	303	93.4116	37.371	27.2359
ENSGALT00000096330.1	300	90.893	0	0
ENSGALT00000096025.1	300	90.893	0	0
ENSGALT00000107692.1	300	90.893	0	0
ENSGALT00000105196.1	303	93.4116	0	0
ENSGALT00000093144.1	300	90.893	0	0
