target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	73.5668	2	1.98297
ENSGALT00000092144.1	105	37.2715	0	0
ENSGALT00000097599.1	99	35.5149	1	2.05379
ENSGALT00000096074.1	282	73.5668	0	0
ENSGALT00000093123.1	285	75.7465	0	0
ENSGALT00000095759.1	297	84.7921	2.35056	2.02201
ENSGALT00000098150.1	207	29.3642	0	0
ENSGALT00000088071.2	171	15.1705	1	4.80804
ENSGALT00000101747.1	111	39.8485	0	0
ENSGALT00000034018.5	285	75.7465	5	4.81477
ENSGALT00000098775.1	282	73.5668	0	0
ENSGALT00000105314.1	288	78.0329	0	0
ENSGALT00000103186.1	204	27.9675	0	0
ENSGALT00000095006.1	282	73.5668	2	1.98297
ENSGALT00000093599.1	297	84.7921	11.9547	10.2838
ENSGALT00000106599.1	288	78.0329	12.0453	11.2592
ENSGALT00000106076.1	288	78.0329	1	0.934738
ENSGALT00000092569.1	207	29.3642	1	2.48399
ENSGALT00000097506.1	282	73.5668	3	2.97445
ENSGALT00000102408.1	174	16.0632	0	0
ENSGALT00000085358.2	261	59.1974	5.64944	6.96098
ENSGALT00000090665.1	207	29.3642	0	0
ENSGALT00000104147.1	282	73.5668	34	33.7104
ENSGALT00000009519.6	312	96.5649	1685	1272.77
ENSGALT00000107510.1	303	89.3931	1.02105	0.833127
ENSGALT00000102297.1	300	87.0746	8.85178	7.41493
ENSGALT00000106260.1	300	87.0746	2.03576	1.7053
ENSGALT00000091808.1	303	89.3931	0	0
ENSGALT00000107033.1	300	87.0746	1.02458	0.858268
ENSGALT00000093063.1	303	89.3931	0	0
ENSGALT00000093463.1	303	89.3931	0	0
ENSGALT00000097156.1	300	87.0746	0	0
ENSGALT00000107238.1	306	91.7789	0.510246	0.405512
ENSGALT00000103224.1	303	89.3931	5.05927	4.12811
ENSGALT00000076576.2	300	87.0746	12.4766	10.4514
ENSGALT00000100705.1	303	89.3931	7.34539	5.99348
ENSGALT00000095032.1	297	84.7921	1	0.860226
ENSGALT00000095957.1	300	87.0746	0	0
ENSGALT00000104488.1	291	80.1942	1.00377	0.912973
ENSGALT00000090393.1	300	87.0746	0	0
ENSGALT00000107783.1	300	87.0746	5.74849	4.81538
ENSGALT00000101333.1	300	87.0746	0	0
ENSGALT00000105767.1	300	87.0746	2.4377	2.042
ENSGALT00000103134.1	303	89.3931	0	0
ENSGALT00000091408.1	300	87.0746	0	0
