target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	70.4016	0	0
ENSGALT00000092144.1	105	39.2	0	0
ENSGALT00000097599.1	99	39.2	0	0
ENSGALT00000096074.1	282	70.4016	0	0
ENSGALT00000093123.1	285	72.5539	0	0
ENSGALT00000095759.1	297	81.1524	0	0
ENSGALT00000098150.1	207	28.543	0	0
ENSGALT00000088071.2	171	15.7188	0	0
ENSGALT00000101747.1	111	42.8811	0	0
ENSGALT00000034018.5	285	72.5539	2	1.82947
ENSGALT00000098775.1	282	70.4016	0	0
ENSGALT00000105314.1	288	74.6438	1	0.889125
ENSGALT00000103186.1	204	27.3777	0	0
ENSGALT00000095006.1	282	70.4016	1	0.942702
ENSGALT00000093599.1	297	81.1524	3	2.45345
ENSGALT00000106599.1	288	74.6438	2	1.77825
ENSGALT00000106076.1	288	74.6438	0	0
ENSGALT00000092569.1	207	28.543	2	4.65037
ENSGALT00000097506.1	282	70.4016	1	0.942702
ENSGALT00000102408.1	174	16.6097	1	3.99571
ENSGALT00000085358.2	261	56.695	4	4.68243
ENSGALT00000090665.1	207	28.543	0	0
ENSGALT00000104147.1	282	70.4016	9	8.48431
ENSGALT00000009519.6	312	92.5955	563	403.529
ENSGALT00000107510.1	303	85.6945	1.02697	0.795353
ENSGALT00000102297.1	300	83.3917	5.45076	4.33802
ENSGALT00000106260.1	300	83.3917	0	0
ENSGALT00000091808.1	303	85.6945	0	0
ENSGALT00000107033.1	300	83.3917	0	0
ENSGALT00000093063.1	303	85.6945	0	0
ENSGALT00000093463.1	303	85.6945	1.01088	0.782895
ENSGALT00000097156.1	300	83.3917	0	0
ENSGALT00000107238.1	306	87.9632	0.525628	0.396583
ENSGALT00000103224.1	303	85.6945	0.576702	0.446637
ENSGALT00000076576.2	300	83.3917	6.69385	5.32733
ENSGALT00000100705.1	303	85.6945	2.01846	1.56323
ENSGALT00000095032.1	297	81.1524	0	0
ENSGALT00000095957.1	300	83.3917	0	0
ENSGALT00000104488.1	291	76.7854	0	0
ENSGALT00000090393.1	300	83.3917	0	0
ENSGALT00000107783.1	300	83.3917	1.63523	1.3014
ENSGALT00000101333.1	300	83.3917	1	0.795855
ENSGALT00000105767.1	300	83.3917	1.12093	0.892096
ENSGALT00000103134.1	303	85.6945	0	0
ENSGALT00000091408.1	300	83.3917	0	0
ENSGALT00000097586.1	300	83.3917	0	0
ENSGALT00000091033.1	303	85.6945	0	0
ENSGALT00000107771.1	300	83.3917	0	0
ENSGALT00000106915.1	303	85.6945	0	0
ENSGALT00000091553.1	303	85.6945	2.8498	2.20708
ENSGALT00000093743.1	303	85.6945	0	0
ENSGALT00000106326.1	303	85.6945	0	0
ENSGALT00000095681.1	300	83.3917	0	0
ENSGALT00000106995.1	300	83.3917	0	0
ENSGALT00000100646.1	300	83.3917	7.60216	6.05021
ENSGALT00000096595.1	303	85.6945	2.24339	1.73743
ENSGALT00000097847.1	300	83.3917	0	0
ENSGALT00000105763.1	303	85.6945	0	0
ENSGALT00000101575.1	300	83.3917	0	0
ENSGALT00000107864.1	303	85.6945	0	0
ENSGALT00000105971.1	300	83.3917	0	0
ENSGALT00000095502.1	303	85.6945	0	0
ENSGALT00000092747.1	300	83.3917	0	0
ENSGALT00000091562.1	306	87.9632	0.525628	0.396583
ENSGALT00000094104.1	303	85.6945	0.576702	0.446637
ENSGALT00000090412.1	303	85.6945	1.21299	0.93942
ENSGALT00000101020.1	303	85.6945	2.01846	1.56323
ENSGALT00000102707.1	303	85.6945	0	0
ENSGALT00000093555.1	303	85.6945	2.66375	2.06299
ENSGALT00000096330.1	300	83.3917	2.32362	1.84926
ENSGALT00000096025.1	300	83.3917	0	0
ENSGALT00000107692.1	300	83.3917	0	0
ENSGALT00000105196.1	303	85.6945	0	0
ENSGALT00000093144.1	300	83.3917	0	0
ENSGALT00000095235.1	300	83.3917	1.63523	1.3014
ENSGALT00000094112.1	300	83.3917	0	0
ENSGALT00000100750.1	303	85.6945	5.7839	4.47944
ENSGALT00000105296.1	303	85.6945	2.31356	1.79178
ENSGALT00000098355.1	303	85.6945	1.04089	0.806136
ENSGALT00000098909.1	300	83.3917	0	0
ENSGALT00000104847.1	303	85.6945	3.16759e-08	2.45319e-08
ENSGALT00000108026.1	303	85.6945	0	0
ENSGALT00000103665.1	303	85.6945	2	1.54894
ENSGALT00000105628.1	303	85.6945	1.04089	0.806136
ENSGALT00000097081.1	300	83.3917	0	0
ENSGALT00000105645.1	291	76.7854	3.38056	2.92191
ENSGALT00000098506.1	300	83.3917	0	0
ENSGALT00000096927.1	303	85.6945	1.02697	0.795353
ENSGALT00000105629.1	303	85.6945	0	0
ENSGALT00000093613.1	300	83.3917	5.05592	4.02378
ENSGALT00000099537.1	303	85.6945	0	0
ENSGALT00000092633.1	303	85.6945	0	0
ENSGALT00000104205.1	303	85.6945	3.35189	2.59593
ENSGALT00000108182.1	303	85.6945	2.0359	1.57674
ENSGALT00000091267.1	303	85.6945	0	0
ENSGALT00000101555.1	303	85.6945	28.2584	21.8852
ENSGALT00000103901.1	303	85.6945	3	2.3234
ENSGALT00000106578.1	303	85.6945	11	8.51915
ENSGALT00000093220.1	348	123.133	492	265.184
ENSGALT00000080481.1	975	715.794	47774	4429.56
ENSGALT00000082968.2	1039	766.558	22141	1916.94
ENSGALT00000053568.1	1548	1272.12	421828	22007.1
ENSGALT00000054328.1	684	423.321	171726	26923
ENSGALT00000054361.1	165	14.293	1354	6287.11
ENSGALT00000076413.1	684	473.843	65587	9186.28
ENSGALT00000061564.1	784	532.406	202524	25245.9
ENSGALT00000049217.1	351	125.81	12265	6470.07
ENSGALT00000079811.1	297	81.1524	4435	3627.01
ENSGALT00000063913.1	1378	1116.02	51177	3043.41
ENSGALT00000047001.1	1818	1537.13	34123	1473.31
ENSGALT00000053400.1	1143	905.39	88877	6514.93
ENSGALT00000068151.1	522	308.678	465	99.978
