target_id	length	eff_length	est_counts	tpm
ENSGALT00000103863.1	282	74.9788	0	0
ENSGALT00000092144.1	105	40.3246	0	0
ENSGALT00000097599.1	99	37.8846	0	0
ENSGALT00000096074.1	282	74.9788	0	0
ENSGALT00000093123.1	285	77.209	0	0
ENSGALT00000095759.1	297	86.5285	0	0
ENSGALT00000098150.1	207	29.6975	0	0
ENSGALT00000088071.2	171	15.0149	0	0
ENSGALT00000101747.1	111	40.1729	0	0
ENSGALT00000034018.5	285	77.209	0	0
ENSGALT00000098775.1	282	74.9788	0	0
ENSGALT00000105314.1	288	79.557	0	0
ENSGALT00000103186.1	204	28.4609	0	0
ENSGALT00000095006.1	282	74.9788	1	1.04031
ENSGALT00000093599.1	297	86.5285	2	1.80291
ENSGALT00000106599.1	288	79.557	2	1.9609
ENSGALT00000106076.1	288	79.557	0	0
ENSGALT00000092569.1	207	29.6975	0	0
ENSGALT00000097506.1	282	74.9788	0	0
ENSGALT00000102408.1	174	16.2978	0	0
ENSGALT00000085358.2	261	60.3062	0	0
ENSGALT00000090665.1	207	29.6975	0	0
ENSGALT00000104147.1	282	74.9788	4	4.16126
ENSGALT00000009519.6	312	98.5891	204	161.4
ENSGALT00000107510.1	303	91.2691	0	0
ENSGALT00000102297.1	300	88.9188	3	2.63167
ENSGALT00000106260.1	300	88.9188	0	0
ENSGALT00000091808.1	303	91.2691	0	0
ENSGALT00000107033.1	300	88.9188	0	0
ENSGALT00000093063.1	303	91.2691	0	0
ENSGALT00000093463.1	303	91.2691	0	0
ENSGALT00000097156.1	300	88.9188	0	0
ENSGALT00000107238.1	306	93.6795	0	0
ENSGALT00000103224.1	303	91.2691	0	0
ENSGALT00000076576.2	300	88.9188	0	0
ENSGALT00000100705.1	303	91.2691	0	0
ENSGALT00000095032.1	297	86.5285	0	0
ENSGALT00000095957.1	300	88.9188	0	0
ENSGALT00000104488.1	291	81.8343	0	0
ENSGALT00000090393.1	300	88.9188	0	0
ENSGALT00000107783.1	300	88.9188	0	0
ENSGALT00000101333.1	300	88.9188	0	0
ENSGALT00000105767.1	300	88.9188	0	0
ENSGALT00000103134.1	303	91.2691	0	0
ENSGALT00000091408.1	300	88.9188	0	0
ENSGALT00000097586.1	300	88.9188	0	0
ENSGALT00000091033.1	303	91.2691	0	0
ENSGALT00000107771.1	300	88.9188	0	0
ENSGALT00000106915.1	303	91.2691	0	0
ENSGALT00000091553.1	303	91.2691	0	0
ENSGALT00000093743.1	303	91.2691	0	0
ENSGALT00000106326.1	303	91.2691	0	0
ENSGALT00000095681.1	300	88.9188	0	0
ENSGALT00000106995.1	300	88.9188	0	0
ENSGALT00000100646.1	300	88.9188	1.23115	1.07999
ENSGALT00000096595.1	303	91.2691	0	0
ENSGALT00000097847.1	300	88.9188	0	0
ENSGALT00000105763.1	303	91.2691	0	0
ENSGALT00000101575.1	300	88.9188	0	0
ENSGALT00000107864.1	303	91.2691	0	0
ENSGALT00000105971.1	300	88.9188	0	0
ENSGALT00000095502.1	303	91.2691	0	0
ENSGALT00000092747.1	300	88.9188	0	0
ENSGALT00000091562.1	306	93.6795	0	0
ENSGALT00000094104.1	303	91.2691	0	0
ENSGALT00000090412.1	303	91.2691	0	0
ENSGALT00000101020.1	303	91.2691	0	0
ENSGALT00000102707.1	303	91.2691	0	0
